,Species,eBird Link,Info
1,Rock Pigeon,/species/rocpig/IN-PB-SH,"Fairly large pigeon with wild and feral populations throughout the world. True wild birds nest on cliffs and in caves from western Europe to central Asia. Pale gray overall with two bold black wingbars and iridescent purple and green on neck. Feral varieties are common in cities and farmland, often in large flocks. Variable plumage: some identical to wild-type birds, but can be completely black, white, or orangey-brown and any combination in between."
2,Eurasian Collared-Dove,/species/eucdov/IN-PB-SH,"Large pale dove with a black crescent on the nape. Slightly smaller and paler than Rock Pigeon, with a proportionately longer, square-tipped tail. Favors farms and suburbs; avoids areas with extensive forests. Typically seen in pairs or small loose groups; forms larger flocks in winter. Widespread and common throughout much of Eurasia and northern Africa. Introduced to, and established in, much of North America, the Caribbean, and parts of Central America. Compare with African Collared-Dove, which may occur in small feral populations or as an escapee throughout Eurasian Collared-Dove’s range. Especially note tail pattern from below: mostly white, contrasting with the grayish undertail coverts, and with black extending down the outer edge of the tail feathers. Voice - a cooing “woop-WOOO!-woop” - is also helpful."
3,Laughing Dove,/species/laudov1/IN-PB-SH,"Small, similar in size to European Turtle-Dove. Tail is strikingly long with white corners and a grey center, but is all white underneath. Its body is pastel shades of brown and pink with a spotted black collar. Usually associated with human-modified landscapes, such as plantations, gardens, and urban areas as long as some trees are present. The call is a repetitious “coo- coo coo ru” replicated 5–8 times."
4,Black Kite,/species/blakit1/IN-PB-SH,"Medium-sized, rather nondescript raptor with overall dark plumage. Varies considerably across range, but always note tail fork (can disappear when tail is fully open), and short head and neck. Juvenile averages paler and more contrastingly-marked. Flight style buoyant, gliding and changing direction with ease. Frequently forages in urban areas, rubbish dumps, aquatic habitats, and grassland, but usually avoids heavily forested areas. Sometimes solitary, but also gathers in large flocks on migration and at good feeding areas."
5,Rose-ringed Parakeet,/species/rorpar/IN-PB-SH,"Vibrantly bright green parakeet, frequently found in woodland, parks, and gardens, where it feeds mainly in trees. Nests in cavities, including holes in buildings. Easily overlooked if quiet, as the bright green plumage blends easily with foliage. Note the very long slender tail and bright red bill; male has narrow black-and-pink neck ring. Closely resembles the larger Alexandrine Parakeet, which has a wine-red patch on each shoulder. Like other parakeets, raucous and social, often appearing in noisy groups giving sharp screeching calls. Native to Africa and South Asia, introduced locally around the world, from Europe and the Caribbean to Japan and Hawaii."
6,House Crow,/species/houcro1/IN-PB-SH,"A slender, blackish medium-sized crow with a long bill. The grayish nape and sides form a paler collar that contrasts with the glossy black body. Primarily a scavenger, feeding on leftover rubbish from humans. Found in a wide range of habitats mostly around human habitation. Their call is a loud and harsh “kaa kaa kaa.”"
7,Common Tailorbird,/species/comtai1/IN-PB-SH,"A common warblerlike bird with a green back, a reddish crown, and a long bill. It gets its name from the way in which it builds its nest by stitching leaves together. A ubiquitous inhabitant of parks, gardens, and wooded areas across South and Southeast Asia. Its loud “tuui-tuui…” and “whee-whee…” calls are often part of the sound of daily life in human habitation. Co-occurs with the very similar Dark-necked Tailorbird in NE India and SE Asia, but is separable by call, and by the lack of a rufous hind-crown, and yellow vent."
8,Red-vented Bulbul,/species/revbul/IN-PB-SH,"A dark, sleek, medium-sized bird with a black crest and a white rump. The red color under the tail is often difficult to see. Eats fruit, flower buds, and insects. Conspicuous and sometimes gregarious, often seen high in trees or perched on wires in urban and rural areas; generally prefers scrubby edge habitat instead of dense forest. Calls include a variety of chirps and whistles. Native to South and Southeast Asia. Introduced to Kuwait, Qatar, United Arab Emirates, Oman, and some Polynesian islands, including Hawaii."
9,Common Chiffchaff,/species/comchi1/IN-PB-SH,"A very plain leaf warbler found in a variety of wooded and scrubby habitats, often near water. Best identified by voice: song is a slightly jerky double-noted chiff-chaff, chiff-chaff..., very different from song of the similar Willow Warbler. Relative to Willow Warbler, Chiffchaff is often duller, more brownish overall with weaker pale eyebrow, dark legs, and tends to habitually dip its tail. Also similar to Booted and Sykes’s Warbler, but these are browner toned with darkish legs and bill."
10,Jungle Babbler,/species/junbab2/IN-PB-SH,"This familiar ash-brown colored babbler has a yellow bill and a dark brow in front of the eye that contrasts with its pale eye giving it a perpetual “angry” look. It has vague streaking on the upperparts, diffuse mottling on its throat, and barring on its tail. The multiple races vary slightly in color and strength of markings except the race somervillei of the NW peninsula which has dark brown outer wing feathers that contrast with the rest of the wing. They are often seen in noisy flocks hopping on the ground and flicking litter in search of food."
