node_1|node_2|edge|chunk_id
rock pigeon|species|The Rock Pigeon is a species of pigeon.|0c77cbda0a0a4544aa1f7636dba049f5
fairly large pigeon|rock pigeon|The Rock Pigeon is fairly large.|0c77cbda0a0a4544aa1f7636dba049f5
wild and feral populations throughout the world|rock pigeon|The Rock Pigeon has both wild and feral populations that are distributed throughout the world.|0c77cbda0a0a4544aa1f7636dba049f5
cliffs and caves|true wild birds|True wild Rock Pigeons nest on cliffs and in caves.|0c77cbda0a0a4544aa1f7636dba049f5
western europe to central asia|true wild birds|True wild Rock Pigeons can be found from western Europe to central Asia.|0c77cbda0a0a4544aa1f7636dba049f5
pale gray overall|rock pigeon|The overall color of a Rock Pigeon is pale gray.|0c77cbda0a0a4544aa1f7636dba049f5
two bold black wingbars|rock pigeon|A Rock Pigeon has two bold black wingbars.|0c77cbda0a0a4544aa1f7636dba049f5
iridescent purple and green on neck|rock pigeon|There is iridescent purple and green feathers on the neck of a Rock Pigeon.|0c77cbda0a0a4544aa1f7636dba049f5
feral varieties are common in cities and farmland|rock pigeon|Feral varieties of Rock Pigeons are commonly found in cities and farmland.|0c77cbda0a0a4544aa1f7636dba049f5
large flocks|feral varieties|Feral varieties of Rock Pigeons often live in large flocks.|0c77cbda0a0a4544aa1f7636dba049f5
variable plumage|rock pigeon|The plumage (feathers) of a Rock Pigeon can vary, with some being identical to wild-type birds, but it can also be completely black, white, or orangey-brown and any combination in between.|0c77cbda0a0a4544aa1f7636dba049f5
eurasian collared-dove|species|The Eurasian Collared-Dove is a species of dove.|1cfbd1b3da4a4a3283cfb29e72b245c8
eurasian collared-dove|large pale dove|The Eurasian Collared-Dove is a large pale dove.|1cfbd1b3da4a4a3283cfb29e72b245c8
eurasian collared-dove|black crescent on the nape|The Eurasian Collared-Dove has a black crescent on its nape.|1cfbd1b3da4a4a3283cfb29e72b245c8
eurasian collared-dove|rock pigeon|The Eurasian Collared-Dove is slightly smaller and paler than the Rock Pigeon.|1cfbd1b3da4a4a3283cfb29e72b245c8
eurasian collared-dove|proportionately longer, square-tipped tail|The Eurasian Collared-Dove has a proportionately longer, square-tipped tail.|1cfbd1b3da4a4a3283cfb29e72b245c8
eurasian collared-dove|farms and suburbs|The Eurasian Collared-Dove favors farms and suburbs.|1cfbd1b3da4a4a3283cfb29e72b245c8
eurasian collared-dove|avoids areas with extensive forests|The Eurasian Collared-Dove avoids areas with extensive forests.|1cfbd1b3da4a4a3283cfb29e72b245c8
eurasian collared-dove|typically seen in pairs or small loose groups|Typically, the Eurasian Collared-Dove is seen in pairs or small loose groups.|1cfbd1b3da4a4a3283cfb29e72b245c8
eurasian collared-dove|forms larger flocks in winter|In winter, the Eurasian Collared-Dove forms larger flocks.|1cfbd1b3da4a4a3283cfb29e72b245c8
eurasian collared-dove|widespread and common throughout much of eurasia and northern africa|The Eurasian Collared-Dove is widespread and common throughout much of Eurasia and northern Africa.|1cfbd1b3da4a4a3283cfb29e72b245c8
