node_1|node_2|edge|chunk_id
common tailorbird|warblerlike bird|The Common Tailorbird is a warblerlike bird.|9ad3f5260d19447388f177864213431a
common tailorbird|green back|The Common Tailorbird has a green back.|9ad3f5260d19447388f177864213431a
common tailorbird|reddish crown|The Common Tailorbird has a reddish crown.|9ad3f5260d19447388f177864213431a
common tailorbird|long bill|The Common Tailorbird has a long bill.|9ad3f5260d19447388f177864213431a
common tailorbird|parks, gardens, and wooded areas|The Common Tailorbird is an inhabitant of parks, gardens, and wooded areas.|9ad3f5260d19447388f177864213431a
common tailorbird|south and southeast asia|The Common Tailorbird is ubiquitous in South and Southeast Asia.|9ad3f5260d19447388f177864213431a
common tailorbird|its name|The Common Tailorbird gets its name from the way it builds its nest by stitching leaves together.|9ad3f5260d19447388f177864213431a
common tailorbird|loud ‘tuui-tuui…’ and ‘whee-whee…’ calls|The loud ‘tuui-tuui…’ and ‘whee-whee…’ calls are often part of the sound of daily life in human habitation.|9ad3f5260d19447388f177864213431a
common tailorbird|dark-necked tailorbird|The Common Tailorbird co-occurs with the Dark-necked Tailorbird in NE India and SE Asia.|9ad3f5260d19447388f177864213431a
common tailorbird|call|The Common Tailorbird is separable from the Dark-necked Tailorbird by call.|9ad3f5260d19447388f177864213431a
common tailorbird|rufous hind-crown|The Common Tailorbird can be separable from the Dark-necked Tailorbird by the lack of a rufous hind-crown.|9ad3f5260d19447388f177864213431a
common tailorbird|yellow vent|The Common Tailorbird can be separable from the Dark-necked Tailorbird by the lack of a yellow vent.|9ad3f5260d19447388f177864213431a
red-vented bulbul|bird|The Red-vented Bulbul is a medium-sized bird.|b0297f6bc4bf43fab5c857673f5bd6f0
red-vented bulbul|dark|The Red-vented Bulbul has a dark coloration.|b0297f6bc4bf43fab5c857673f5bd6f0
red-vented bulbul|sleek|The Red-vented Bulbul is described as sleek.|b0297f6bc4bf43fab5c857673f5bd6f0
red-vented bulbul|black crest|The Red-vented Bulbul has a black crest.|b0297f6bc4bf43fab5c857673f5bd6f0
red-vented bulbul|white rump|The white rump of the Red-vented Bulbul is often difficult to see.|b0297f6bc4bf43fab5c857673f5bd6f0
red-vented bulbul|eats fruit, flower buds, and insects|The Red-vented Bulbul eats fruit, flower buds, and insects.|b0297f6bc4bf43fab5c857673f5bd6f0
red-vented bulbul|conspicuous|The Red-vented Bulbul is conspicuous.|b0297f6bc4bf43fab5c857673f5bd6f0
red-vented bulbul|gregarious|The Red-vented Bulbul can be gregarious.|b0297f6bc4bf43fab5c857673f5bd6f0
red-vented bulbul|urban and rural areas|The Red-vented Bulbul is often seen in urban and rural areas.|b0297f6bc4bf43fab5c857673f5bd6f0
red-vented bulbul|scrubby edge habitat|The Red-vented Bulbul prefers scrubby edge habitat instead of dense forest.|b0297f6bc4bf43fab5c857673f5bd6f0
red-vented bulbul|calls include a variety of chirps and whistles|The Red-vented Bulbul calls include a variety of chirps and whistles.|b0297f6bc4bf43fab5c857673f5bd6f0
red-vented bulbul|south and southeast asia|The Red-vented Bulbul is native to South and Southeast Asia.|b0297f6bc4bf43fab5c857673f5bd6f0
red-vented bulbul|kuwait, qatar, united arab emirates, oman|The Red-vented Bulbul has been introduced to Kuwait, Qatar, United Arab Emirates, and Oman.|b0297f6bc4bf43fab5c857673f5bd6f0
red-vented bulbul|some polynesian islands|The Red-vented Bulbul has been introduced to some Polynesian islands.|b0297f6bc4bf43fab5c857673f5bd6f0
red-vented bulbul|hawaii|The Red-vented Bulbul has been introduced to Hawaii.|b0297f6bc4bf43fab5c857673f5bd6f0
common chiffchaff|species|The Common Chiffchaff is a species of bird.|35ea6afd2bfa4ea4a80202443183617e
common chiffchaff|leaf warbler|The Common Chiffchaff is a type of leaf warbler.|35ea6afd2bfa4ea4a80202443183617e
common chiffchaff|found in wooded and scrubby habitats|The Common Chiffchaff can be found in wooded and scrubby habitats.|35ea6afd2bfa4ea4a80202443183617e
common chiffchaff|often near water|The Common Chiffchaff is often found near water.|35ea6afd2bfa4ea4a80202443183617e
song of the common chiffchaff|chiff-chaff...|The song of the Common Chiffchaff is a slightly jerky double-noted chiff-chaff, chiff-chaff...|35ea6afd2bfa4ea4a80202443183617e
song of the common chiffchaff|very different from song of the willow warbler|The song of the Common Chiffchaff is very different from the song of the Willow Warbler.|35ea6afd2bfa4ea4a80202443183617e
relative to willow warbler|chiffchaff|Compared to the Willow Warbler, the Chiffchaff is often duller, more brownish overall with weaker pale eyebrow, dark legs, and tends to habitually dip its tail.|35ea6afd2bfa4ea4a80202443183617e
booted and sykes’s warbler|similar to common chiffchaff|The Common Chiffchaff is similar to Booted and Sykes’s Warbler, but these are browner toned with darkish legs and bill.|35ea6afd2bfa4ea4a80202443183617e
jungle babbler|ash-brown colored babbler|The Jungle Babbler is referred to as an ash-brown colored babbler.|76ff2eb595b14af29116cbe798206ff1
jungle babbler|yellow bill|The Jungle Babbler has a yellow bill.|76ff2eb595b14af29116cbe798206ff1
jungle babbler|dark brow in front of the eye|The Jungle Babbler has a dark brow in front of its eye.|76ff2eb595b14af29116cbe798206ff1
jungle babbler|pale eye|The Jungle Babbler's eye is described as pale.|76ff2eb595b14af29116cbe798206ff1
jungle babbler|perpetual ‘angry’ look|The contrast between the Jungle Babbler's dark brow and its pale eye gives it a perpetual 'angry' look.|76ff2eb595b14af29116cbe798206ff1
jungle babbler|vue streaking on the upperparts|The Jungle Babbler has vague streaking on its upperparts.|76ff2eb595b14af29116cbe798206ff1
jungle babbler|diffuse mottling on its throat|The Jungle Babbler has diffuse mottling on its throat.|76ff2eb595b14af29116cbe798206ff1
jungle babbler|barring on its tail|The Jungle Babbler has barring on its tail.|76ff2eb595b14af29116cbe798206ff1
race somervillei|jungle babbler|The race somervillei of the NW peninsula is a variant of the Jungle Babbler.|76ff2eb595b14af29116cbe798206ff1
race somervillei|dark brown outer wing feathers|The race somervillei of the Jungle Babbler has dark brown outer wing feathers that contrast with the rest of the wing.|76ff2eb595b14af29116cbe798206ff1
jungle babbler|noisy flocks hopping on the ground|The Jungle Babbler is often seen in noisy flocks hopping on the ground.|76ff2eb595b14af29116cbe798206ff1
jungle babbler|flicking litter in search of food|While hopping on the ground, the Jungle Babbler often flicks litter in search of food.|76ff2eb595b14af29116cbe798206ff1
common myna|species|The Common Myna is a species.|92da984851f146aca364d5d9e238feb1
common myna|large|The Common Myna is described as large.|92da984851f146aca364d5d9e238feb1
common myna|black-and-brown|The Common Myna has a black-and-brown coloring.|92da984851f146aca364d5d9e238feb1
common myna|white wing patches|The Common Myna has white patches on its wings.|92da984851f146aca364d5d9e238feb1
common myna|yellow bill|The Common Myna has a yellow bill.|92da984851f146aca364d5d9e238feb1
common myna|yellow legs|The Common Myna has yellow legs.|92da984851f146aca364d5d9e238feb1
gregarious|common myna|The Common Myna is gregarious, often found in noisy flocks.|92da984851f146aca364d5d9e238feb1
aggressive|common myna|The Common Myna is aggressive, often driving away other birds.|92da984851f146aca364d5d9e238feb1
can be found just about anywhere|common myna|The Common Myna can be found in various locations, except the densest forests.|92da984851f146aca364d5d9e238feb1
southern asia|native to|The Common Myna is native to southern Asia.|92da984851f146aca364d5d9e238feb1
among the most common species|in southern asia|In southern Asia, the Common Myna is among the most common species.|92da984851f146aca364d5d9e238feb1
widely introduced|common myna|The Common Myna has been widely introduced elsewhere in the world.|92da984851f146aca364d5d9e238feb1
australia|where it is widely introduced|The Common Myna has been widely introduced to Australia.|92da984851f146aca364d5d9e238feb1
new zealand|where it is widely introduced|The Common Myna has been widely introduced to New Zealand.|92da984851f146aca364d5d9e238feb1
hawaii|where it is widely introduced|The Common Myna has been widely introduced to Hawaii.|92da984851f146aca364d5d9e238feb1
brown rock chat|species|The Brown Rock Chat is a species of bird.|84de80143c8b4774a11419e8ae233af6
plain chocolate-brown chat|alternate name|The Plain chocolate-brown chat is another name for the Brown Rock Chat.|84de80143c8b4774a11419e8ae233af6
ridges, cliff edges, and buildings|habitat|Brown Rock Chats are often seen on ridges, cliff edges, and buildings, suggesting these areas as their habitats.|84de80143c8b4774a11419e8ae233af6
female indian robin|similar species|The female Indian Robin can be somewhat similar to the Brown Rock Chat.|84de80143c8b4774a11419e8ae233af6
brown rock chat|female indian robin|However, it's important to note that a Brown Rock Chat has a proportionally shorter tail and lacks a rufous vent compared to the female Indian Robin.|84de80143c8b4774a11419e8ae233af6
brown rock chat|physical characteristics|The Brown Rock Chat is characterized by its plain chocolate-brown color, tall and proud posture, shorter tail, and lack of a rufous vent.|84de80143c8b4774a11419e8ae233af6
lovely song|characteristic|The Brown Rock Chat is known for its lovely song which is composed of warbles and trills.|84de80143c8b4774a11419e8ae233af6
warbles and trills|components of song|The lovely song of the Brown Rock Chat consists of warbles and trills.|84de80143c8b4774a11419e8ae233af6
chee|common call|The most common call of the Brown Rock Chat is a slightly descending ‘chee’.|84de80143c8b4774a11419e8ae233af6
bar-headed goose|species|The Bar-headed Goose is a species.|d8cc3e06c95b469c9d08614c9929cc4d
striking and distinctive goose|bar-headed goose|The Bar-headed Goose is described as striking and distinctive.|d8cc3e06c95b469c9d08614c9929cc4d
bold black-and-white head and neck pattern|bar-headed goose|The Bar-headed Goose has a bold black-and-white head and neck pattern.|d8cc3e06c95b469c9d08614c9929cc4d
orangey-yellow bill|bar-headed goose|The Bar-headed Goose has an orangey-yellow bill.|d8cc3e06c95b469c9d08614c9929cc4d
legs|bar-headed goose|The Bar-headed Goose has legs, which are also described as orangey-yellow.|d8cc3e06c95b469c9d08614c9929cc4d
pale gray|bar-headed goose (in flight)|When in flight, the Bar-headed Goose appears mainly pale gray.|d8cc3e06c95b469c9d08614c9929cc4d
broad black trailing edge to wings|bar-headed goose (in flight)|When in flight, the Bar-headed Goose has a broad black trailing edge to its wings.|d8cc3e06c95b469c9d08614c9929cc4d
lakes and marshes on highland plateaus|breeds|The Bar-headed Goose breeds around lakes and marshes on highland plateaus.|d8cc3e06c95b469c9d08614c9929cc4d
lowland wetlands and fields|winters|The Bar-headed Goose winters in lowland wetlands and fields.|d8cc3e06c95b469c9d08614c9929cc4d
east and south asia|native to|The Bar-headed Goose is native to East and South Asia.|d8cc3e06c95b469c9d08614c9929cc4d
waterfowl collections|native to|Although native to East and South Asia, the Bar-headed Goose has been seen free-flying elsewhere in the world due to escapees from waterfowl collections.|d8cc3e06c95b469c9d08614c9929cc4d
graylag goose|large|The Graylag Goose is a large gray goose.|0c035be70f4d4807ab5a4a6119138c6d
graylag goose|brownish gray|The Graylag Goose has an overall brownish gray appearance.|0c035be70f4d4807ab5a4a6119138c6d
graylag goose|big pinkish-orange bill|The Graylag Goose has a big pinkish-orange bill.|0c035be70f4d4807ab5a4a6119138c6d
graylag goose|pinkish legs|The Graylag Goose has pinkish legs.|0c035be70f4d4807ab5a4a6119138c6d
in flight|extensively pale gray leading edge to upperwings|When the Graylag Goose is in flight, it shows an extensively pale gray leading edge to its upperwings.|0c035be70f4d4807ab5a4a6119138c6d
in flight|pale underwing coverts|When the Graylag Goose is in flight, it has pale underwing coverts.|0c035be70f4d4807ab5a4a6119138c6d
in flight|broad white tail tip|When the Graylag Goose is in flight, it has a broad white tail tip.|0c035be70f4d4807ab5a4a6119138c6d
comparison|graylag goose|The Graylag Goose can be compared to other gray geese that differ in details of bill pattern and color, head and neck pattern, and have dark underwings.|0c035be70f4d4807ab5a4a6119138c6d
inhabits|lakes, marshes, and wetlands|The Graylag Goose inhabits lakes, marshes, and wetlands.|0c035be70f4d4807ab5a4a6119138c6d
european range|urban parks|In parts of its European range, the Graylag Goose can be found in urban parks.|0c035be70f4d4807ab5a4a6119138c6d
knob-billed duck|waterbird|The Knob-billed Duck is a type of waterbird.|f7c55a0572084c1090bc35fccce611c6
knob-billed duck|species|The Knob-billed Duck is a species.|f7c55a0572084c1090bc35fccce611c6
knob-billed duck|large|The Knob-billed Duck is large in size.|f7c55a0572084c1090bc35fccce611c6
knob-billed duck|bicolored|The Knob-billed Duck has a bicolor appearance.|f7c55a0572084c1090bc35fccce611c6
knob-billed duck|iridescent|The upper part of the Knob-billed Duck's body is iridescent purplish-green.|f7c55a0572084c1090bc35fccce611c6
knob-billed duck (male)|iridescent|The male Knob-billed Duck has an iridescent upper part.|f7c55a0572084c1090bc35fccce611c6
knob-billed duck (male)|black lump|Males of the Knob-billed Duck have a large black lump on their bill.|f7c55a0572084c1090bc35fccce611c6
knob-billed duck (female)|plain bill|Females of the Knob-billed Duck have a plain bill.|f7c55a0572084c1090bc35fccce611c6
knob-billed duck (female)|gray flanks|Females of the Knob-billed Duck have gray flanks.|f7c55a0572084c1090bc35fccce611c6
knob-billed duck (male)|gray flanks|Males of the Knob-billed Duck have gray flanks, but with a whitish belly.|f7c55a0572084c1090bc35fccce611c6
knob-billed duck (male)|whitish belly|Males of the Knob-billed Duck have a whitish belly.|f7c55a0572084c1090bc35fccce611c6
knob-billed duck|buffy breast|The breast of the Knob-billed Duck is white or buffy.|f7c55a0572084c1090bc35fccce611c6
knob-billed duck (female)|plain bill|Females of the Knob-billed Duck do not have a large black lump on their bill.|f7c55a0572084c1090bc35fccce611c6
knob-billed duck (female)|gray flanks|Females of the Knob-billed Duck have gray flanks, unlike males which have gray flanks and a whitish belly.|f7c55a0572084c1090bc35fccce611c6
knob-billed duck|india|The Knob-billed Duck occurs in India.|f7c55a0572084c1090bc35fccce611c6
knob-billed duck|africa|The Knob-billed Duck occurs throughout much of Africa.|f7c55a0572084c1090bc35fccce611c6
knob-billed duck|southeast asia|The Knob-billed Duck occurs in Southeast Asia.|f7c55a0572084c1090bc35fccce611c6
knob-billed duck|freshwater rivers, lakes, and marshes|The Knob-billed Duck is found in freshwater rivers, lakes, and marshes.|f7c55a0572084c1090bc35fccce611c6
knob-billed duck|uncommon|The Knob-billed Duck is usually uncommon.|f7c55a0572084c1090bc35fccce611c6
knob-billed duck|normally silent|The Knob-billed Duck is normally silent.|f7c55a0572084c1090bc35fccce611c6
knob-billed duck (wings)|dark|All the wings of the Knob-billed Duck are dark.|f7c55a0572084c1090bc35fccce611c6
northern shoveler|species|The Northern Shoveler is a species of duck.|de63326993054b4180071beb366aaa27
northern shoveler|medium-sized|The Northern Shoveler is medium-sized, smaller than a Mallard.|de63326993054b4180071beb366aaa27
northern shoveler|mallard|The Northern Shoveler is smaller than a Mallard.|de63326993054b4180071beb366aaa27
huge, spoon-shaped bill|northern shoveler|The Northern Shoveler has a huge, spoon-shaped bill which can be visible at a distance and in flight.|de63326993054b4180071beb366aaa27
breeding males|northern shoveler|During breeding, the male Northern Shoveler has a dark green head, white breast, chestnut sides and belly.|de63326993054b4180071beb366aaa27
females|northern shoveler|The female Northern Shoveler is buffy-brown with a large, distinctive bill.|de63326993054b4180071beb366aaa27
chalky-blue upperwing|northern shoveler|The Northern Shoveler has a chalky-blue upperwing.|de63326993054b4180071beb366aaa27
forages by sifting through the water|northern shoveler|The Northern Shoveler forages by sifting through the water.|de63326993054b4180071beb366aaa27
swimming in spirals in groups|foraging behavior of northern shoveler|While foraging, the Northern Shoveler often swims in spirals in groups.|de63326993054b4180071beb366aaa27
indian spot-billed duck|species|The Indian Spot-billed Duck is a species of duck.|90471659c7504a4593185da2483ea832
indian spot-billed duck|large grayish-brown|The Indian Spot-billed Duck is large and has a grayish-brown color.|90471659c7504a4593185da2483ea832
indian spot-billed duck|yellow-tipped black bill|The Indian Spot-billed Duck has a yellow-tipped black bill.|90471659c7504a4593185da2483ea832
indian spot-billed duck|red spot at the base of the bill|In some Indian Spot-billed Ducks, there is a red spot at the base of the bill.|90471659c7504a4593185da2483ea832
indian spot-billed duck|green panel in the wing|The Indian Spot-billed Duck has a green panel in its wing.|90471659c7504a4593185da2483ea832
indian spot-billed duck|white border in the green panel|The green panel in the Indian Spot-billed Duck's wing is bordered in white.|90471659c7504a4593185da2483ea832
indian spot-billed duck|often seen in small groups|The Indian Spot-billed Ducks are often seen in small groups.|90471659c7504a4593185da2483ea832
indian spot-billed duck|shallow water|The Indian Spot-billed Ducks are often seen dabbling or tipping up in shallow water.|90471659c7504a4593185da2483ea832
indian spot-billed duck|marshy land|The Indian Spot-billed Ducks are often seen walking on marshy land.|90471659c7504a4593185da2483ea832
indian spot-billed duck|edge of freshwater lakes|The Indian Spot-billed Ducks are often seen at the edge of freshwater lakes.|90471659c7504a4593185da2483ea832
indian spot-billed duck|cultivated fields|The Indian Spot-billed Ducks are often seen in cultivated fields.|90471659c7504a4593185da2483ea832
indian spot-billed duck|usually not seen associating with other species|The Indian Spot-billed Ducks usually do not associate with other species.|90471659c7504a4593185da2483ea832
eastern spot-billed duck|similar to eastern spot-billed duck|The Indian Spot-billed Duck is similar to the Eastern Spot-billed Duck.|90471659c7504a4593185da2483ea832
eastern spot-billed duck|note green wing panel|When comparing with the Eastern Spot-billed Duck, note the green wing panel of the Indian Spot-billed Duck.|90471659c7504a4593185da2483ea832
